name,id,planetary,decivRemove,script,desc,icon,order
Урбанизированное государство,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"Густонаселенный космополитический мегаполис с коммерческими центрами и различными индустриальными парками.Люди из всех слоев общества жили и работали до самой смерти в этом великолепном куполообразном городе.Снижение производства еды и увеличение спроса на предметы роскоши и товары первой необходимости.",graphics/icons/markets/urbanized_polity.png,130
Промышленная политика,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Местные органы власти активно поощряют развитие промышленности за счет всех других интересов.",graphics/icons/markets/urbanized_polity.png,130
Аграрное государство,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"Малонаселенное государство, состоящее из усадеб и изолированных городков. В эти неспокойные времена к посторонним обычно относятся с подозрением. Увеличение производства продуктов питания и снижение спроса на предметы роскоши и предметы первой необходимости.",graphics/icons/markets/rural_polity.png,130
Поток беженцев,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Отчаянные беженцы, спасающиеся от бедствия, оказались здесь. Беженцы живут на дне общества, практически не имея возможностей для улучшения положения, перегружают инфраструктуру из-за чрезмерного потребления жизненных ресурсов, что приводит к снижению местной производительности труда Среди тех, кто пытается спастись от убогих условий жизни, скорее всего, найдутся более перспективные члены экипажа.",graphics/icons/markets/refugee_population.png,140
Разведение Вольтурнианских Лобстеров,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Скрещивание нескольких видов Старой Земли и немного воображения произвели на свет это существо, которое обитает в морских глубинах Вольтурна. Говорят, вкус у них поистине уникальный.",graphics/icons/markets/lobster_pens.png,137
Спрос на контрабанду,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,"Здесь очень высокий спрос на контрабанду.",graphics/icons/markets/vice_demand.png,145
Организованная преступность,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,"Преступная деятельность производит наркотики и извлеченные органы. Увеличивает спрос на тяжелое оружие (как у различных криминальных авторитетов, так и у местного населения) и морской пехоты (у местных властей).",graphics/icons/markets/organized_crime.png,148
Пограничный край,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Вдали от заселенных мест, простое выживание, уверенность в себе и только самое необходимое - вот правила пограничья. Повышенный спрос на оружие и предметы первой необходимости, снижение спроса на предметы роскоши.",graphics/icons/markets/frontier.png,130
Центр утилизации судов,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"Главный центр разборки кораблей в этом регионе, армии и другие клиенты будут отправлять сюда сломанные корабли для разборки.",graphics/icons/markets/shipbreaking.png,360
Торговый центр,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Крупный торговый центр, торговые суда со всего сектора причаливают сюда, ожидая найти покупателя на свои товары или покупки дешевых товаров, которые могут принести большую прибыль.",graphics/icons/markets/trade_center.png,280
